상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,캠페인 이름,캠페인 ID,기간,캠페인 목적,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),구매완료 수,구매완료 전환매출액,총 전환율(%),총 광고수익률(%)
삼성 비스포크 AI 정수기 냉온 직수 RWP70F15ANC 솝스톤 차콜 음성인식 카운터탑,12149079624,89693590329,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,3430,5,880,0.39,1,1000,0,0
삼성 비스포크 AI 정수기 냉온 직수 RWP70F15ANB 새틴 베이지 음성인식 카운터탑,12149078121,89693588826,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,17069,5,3163,0.54,1,1000,14.29,5140.57
삼성 비스포크 6인용 식기세척기 카운터탑 DW30FB300CW0 화이트,12148186054,89692696759,ADVoost 쇼핑_식기세척기_클릭나라,1548460,2026.09.20.,ADVoost 쇼핑,100,100,8176,5,1050,0.78,1,1000,6.9,5399.12
삼성 비스포크 6인용 식기세척기 카운터탑 DW30FB300CE0 베이지,12148183445,89692694150,ADVoost 쇼핑_식기세척기_클릭나라,1548460,2026.09.20.,ADVoost 쇼핑,100,100,5917,5,1367,0.43,1,1000,0,0
삼성 WW13BB844DGB1S 비스포크AI 슬림 세탁13kg 건조10kg 세제자동 1등급,12134150562,89678661266,ADVoost 쇼핑_의류케어_회산디지털,1546896,2026.09.20.,ADVoost 쇼핑,100,100,6428,5,1075,0.6,1,1000,8,33584.46
[혜택가330만+N페이적립] 삼성 비스포크 AI 냉장고 김치냉장고 키친핏 Max RM70F63R2A RQ33DB74C1AP 코타화이트 2등급+1등급,11842573375,89387083969,ADVoost 쇼핑_김치냉장고_평강프라자,1548613,2026.09.20.,ADVoost 쇼핑,100,100,6322,5,847,0.75,1,1000,3.96,42310.74
삼성 정수기 비스포크 직수 냉온정수기 싱크대 빌트인 예쁜 슬림 소형 언더싱크 색상선택,11705620737,89250131204,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,20252,5,1729,1.17,1,1000,0,0
삼성 식기세척기 인덕션 세트 14인용 + 3구 DW80F73X1 NZ63DB607 열풍건조,11687985671,89232496138,ADVoost 쇼핑_조리기기_케이디엘,1548292,2026.09.20.,ADVoost 쇼핑,100,100,12638,5,1519,0.83,1,1000,5.41,26901.06
삼성 비스포크 Ai 냉장고 김치냉장고 키친핏 Max RM70F63R2A RK70F42M2A 코타화이트,11634856754,89179367199,ADVoost 쇼핑_김치냉장고_평강프라자,1548613,2026.09.20.,ADVoost 쇼핑,100,100,8190,5,982,0.83,1,1000,6.45,26438.67
삼성 비스포크 12인용 AI 식기세척기 DW80F71Y1UEW,11524449043,89068959449,ADVoost 쇼핑_식기세척기_클릭나라,1548460,2026.09.20.,ADVoost 쇼핑,100,100,9757,5,1281,0.76,1,1000,7.41,15202.59
삼성 WD90F25CHY 비스포크 AI콤보 세탁기건조기 일체형 25kg+18kg 1등급,11514491040,89059001413,ADVoost 쇼핑_의류케어_회산디지털,1546896,2026.09.20.,ADVoost 쇼핑,100,100,6820,5,1004,0.68,1,1000,13.79,64217.75
삼성 비스포크 14인용 열풍 AI 히든 식기세척기 DW80F75L1U01,11461052020,89005562385,ADVoost 쇼핑_식기세척기_클릭나라,1548460,2026.09.20.,ADVoost 쇼핑,100,100,5941,5,1218,0.49,1,1000,8.93,13179.87
삼성 WD90F25CHB 비스포크 AI콤보 세탁25kg 건조18kg 일체형,11359586580,88904096931,ADVoost 쇼핑_의류케어_삼성하나로,1546871,2026.09.20.,ADVoost 쇼핑,100,100,6206,5,910,0.68,1,1000,0,0
삼성전자 비스포크 가정용 식기세척기 카운터탑 6인용 화이트,10634686115,88179191925,ADVoost 쇼핑_식기세척기_클릭나라,1548460,2026.09.20.,ADVoost 쇼핑,100,100,10896,5,895,1.22,1,1000,2.08,3213.69
삼성전자 비스포크 가정용 식기세척기 카운터탑 DW30FB300 6인용 색상선택,10634670538,88179176348,ADVoost 쇼핑_식기세척기_클릭나라,1548460,2026.09.20.,ADVoost 쇼핑,100,100,10773,5,1817,0.59,1,1000,8.33,3164.6
삼성전자 더플레이트 NZ31DG200CFK 1구 인덕션 1인용 휴대용 이동식 전기레인지,10628496831,88173002641,ADVoost 쇼핑_조리기기_케이디엘,1548292,2026.09.20.,ADVoost 쇼핑,100,100,1713,5,615,0.28,1,1000,0,0
삼성전자 더플레이트 NZ31DG200CFH 1구 인덕션 1인용 휴대용 이동식 전기레인지,10628333611,88172839421,ADVoost 쇼핑_조리기기_케이디엘,1548292,2026.09.20.,ADVoost 쇼핑,100,100,3807,5,871,0.44,1,1000,17.65,3694.78
"삼성 비스포크 3구 인덕션 AI끓음감지 NZ63DB607CF 빌트인, 글램 베이지-NZ63DB607CFE",10493313637,88037818938,ADVoost 쇼핑_조리기기_케이디엘,1548292,2026.09.20.,ADVoost 쇼핑,100,100,12884,5,1381,0.93,1,1000,3.23,3128.95
"삼성 비스포크 3구 인덕션 AI끓음감지 NZ63DB607CF 빌트인, 글램화이트-NZ63DB607CFH",10434260564,87978765599,ADVoost 쇼핑_조리기기_케이디엘,1548292,2026.09.20.,ADVoost 쇼핑,100,100,4672,5,929,0.5,1,1000,5.05,7285.78
삼성전자 더플레이트 NZ62DG300CFK 인덕션 2구 블랙 프리스탠딩 1인용 휴대용,10361160646,87905665279,ADVoost 쇼핑_조리기기_케이디엘,1548292,2026.09.20.,ADVoost 쇼핑,100,100,5606,5,662,0.85,1,1000,17.14,9740.58
삼성전자 비스포크 NZ63DB657CFH AI인덕션 3구 빌트인 끓음감지 저소음 프레임리스 슬림핏 플렉스존 화이트,10284941023,87829444847,ADVoost 쇼핑_조리기기_케이디엘,1548292,2026.09.20.,ADVoost 쇼핑,100,100,7060,5,705,1,1,1000,7.14,24915.54
삼성 비스포크 정수기 필터 언더싱크 빌트인 직수 비스코프 냉장고 냉온 정수 수전 정수기필터,9929643370,87474145643,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,14991,5,883,1.7,1,1000,60,13576.57
삼성 비스포크 언더싱크 빌트인 직수 냉장고 정수기 필터 냉온 정수 수전 필터,9901492319,87445994592,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,12181,5,1584,0.77,1,1000,50,3676.94
삼성 정수기 비스포크 직수 정수 빌트인 싱크대 언더싱크 예쁜 슬림 소형 색상선택 정수기,9886847038,87431349311,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,6740,5,1420,0.47,1,1000,7.14,10636.3
삼성전자 비스포크 HAF-HIM 정수기 전용 정수필터 2개 1세트(4단계필터),9718067142,87262569412,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,40135,5,723,5.55,1,1000,42.86,6581.89
삼성전자 비스포크 HAF-HIN 정수기 교체용 필터 4개 1세트 셀프교체 단순배송,9718036637,87262538907,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,32160,5,1222,2.63,1,1000,45,5225.51
삼성전자 비스포크 RWP54421BF7M 직수형 냉온정수기 언더싱크 빌트인 오프화이트,9713048645,87257550915,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,21685,5,1716,1.26,1,1000,7.14,5282.72
삼성 비스포크 RWP54120BF 직수형 정수기 빌트인 색상선택,9712984078,87257486348,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,8088,5,600,1.35,1,1000,14.29,21415.74
삼성 비스포크 RWP54220BF 직수형 냉 정수기 빌트인 색상선택,9712880290,87257382559,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,4194,5,1405,0.3,1,1000,0,0
삼성전자 비스포크 RWP54421BF 직수형 냉온정수기 싱크대 빌트인 언더싱크 화이트,9712730896,87257233166,ADVoost 쇼핑_정수기_현성전자,1548738,2026.09.20.,ADVoost 쇼핑,100,100,47481,5,2361,2.01,1,1000,17.65,9376.12
